"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 15, 2021","16,713,000","17,242,000","17,242,000","16,702,000","5.69K","-3.03%"
"Jan 14, 2021","17,236,000","15,999,000","17,236,000","15,999,000","5.44K","7.73%"
"Jan 13, 2021","15,999,000","15,031,000","15,999,000","14,500,000","4.96K","6.44%"
"Jan 12, 2021","15,031,000","15,666,000","15,666,000","15,031,000","7.30K","-4.05%"
"Jan 11, 2021","15,666,000","17,991,000","17,991,000","15,666,000","15.98K","-12.92%"
"Jan 10, 2021","17,991,000","17,873,000","18,975,000","17,873,000","5.93K","0.66%"
"Jan 09, 2021","17,873,000","17,300,000","17,873,000","17,300,000","4.19K","3.31%"
"Jan 08, 2021","17,300,000","17,206,000","17,300,000","16,479,000","7.68K","0.55%"
"Jan 07, 2021","17,206,000","16,828,000","17,206,000","16,781,000","7.26K","2.25%"
"Jan 06, 2021","16,828,000","15,426,000","16,828,000","15,426,000","6.59K","9.09%"
"Jan 05, 2021","15,426,000","14,731,000","15,426,000","14,399,000","6.77K","4.87%"
"Jan 04, 2021","14,709,000","13,653,000","14,709,000","13,653,000","14.47K","7.73%"
"Jan 03, 2021","13,653,000","10,813,000","13,653,000","10,813,000","7.17K","26.26%"
"Jan 02, 2021","10,813,000","10,278,000","10,850,000","10,278,000","2.51K","5.21%"
"Jan 01, 2021","10,278,000","10,368,000","10,368,000","10,278,000","1.57K","-0.87%"
"Dec 31, 2020","10,368,000","10,586,000","10,586,000","10,368,000","1.93K","-2.06%"
"Dec 30, 2020","10,586,000","10,391,000","10,586,000","10,242,000","2.44K","1.88%"
"Dec 29, 2020","10,391,000","10,456,000","10,456,000","10,391,000","3.40K","-0.62%"
"Dec 28, 2020","10,456,000","9,748,000","10,590,000","9,748,000","4.58K","7.26%"
"Dec 27, 2020","9,748,000","9,068,000","9,869,000","9,068,000","5.29K","7.50%"
"Dec 26, 2020","9,068,000","8,936,000","9,068,000","8,936,000","1.65K","1.48%"
"Dec 25, 2020","8,936,000","8,765,000","8,936,000","8,765,000","1.81K","1.95%"
"Dec 24, 2020","8,765,000","8,501,000","8,765,000","8,377,000","2.48K","3.11%"
"Dec 23, 2020","8,501,000","9,055,000","9,055,000","8,501,000","3.36K","-6.12%"
"Dec 22, 2020","9,055,000","8,692,000","9,055,000","8,654,000","1.82K","4.18%"
"Dec 21, 2020","8,692,000","8,971,000","9,010,000","8,692,000","2.53K","-3.11%"
"Dec 20, 2020","8,971,000","9,202,000","9,202,000","8,971,000","1.63K","-2.51%"
"Dec 19, 2020","9,202,000","9,100,000","9,202,000","9,100,000","1.34K","1.12%"
"Dec 18, 2020","9,100,000","8,901,000","9,100,000","8,901,000","1.89K","2.24%"
"Dec 17, 2020","8,901,000","8,754,000","9,341,000","8,754,000","4.42K","1.68%"
"Dec 16, 2020","8,754,000","8,286,000","8,754,000","8,256,000","1.91K","5.65%"
"Dec 15, 2020","8,286,000","8,227,000","8,289,000","8,225,000","1.05K","0.72%"
"Dec 14, 2020","8,227,000","8,300,000","8,300,000","8,227,000","1.30K","-0.88%"
"Dec 13, 2020","8,300,000","8,047,000","8,300,000","8,047,000","1.54K","3.14%"
"Dec 12, 2020","8,047,000","7,795,000","8,047,000","7,795,000","1.06K","3.23%"
"Dec 11, 2020","7,795,000","7,970,000","7,970,000","7,795,000","1.47K","-2.20%"
"Dec 10, 2020","7,970,000","8,170,000","8,170,000","7,970,000","0.88K","-2.45%"
"Dec 09, 2020","8,170,000","7,908,000","8,170,000","7,908,000","2.11K","3.31%"
"Dec 08, 2020","7,908,000","8,359,000","8,359,000","7,908,000","1.98K","-5.40%"
"Dec 07, 2020","8,359,000","8,487,000","8,487,000","8,359,000","1.16K","-1.51%"
"Dec 06, 2020","8,487,000","8,422,000","8,487,000","8,422,000","1.33K","0.77%"
"Dec 05, 2020","8,422,000","8,082,000","8,422,000","8,082,000","1.12K","4.21%"
"Dec 04, 2020","8,082,000","8,632,000","8,632,000","8,082,000","1.56K","-6.37%"
"Dec 03, 2020","8,632,000","8,389,000","8,632,000","8,389,000","1.84K","2.90%"
"Dec 02, 2020","8,389,000","8,279,000","8,389,000","8,279,000","1.76K","1.33%"
